Year,Pick,Ovr,Franchise,Player,Team,Position,Points
2020,1.01,1,San Joe Montana 49ers,Clyde Edwards-Helaire,KCC,RB,164
2020,1.02,2,Indiana James,Jonathan Taylor,IND,RB,238
2020,1.03,3,The Adam's Family,J.K. Dobbins,BAL,RB,163
2020,1.04,4,Vlc Tigers Watt's,D'Andre Swift,DET,RB,173
2020,1.05,5,El Predicador Almogávar,Cam Akers,LAR,RB,97
2020,1.06,6,GronkSpike,Justin Jefferson,MIN,WR,237
2020,1.07,7,Zgz Marino Phins,CeeDee Lamb,DAL,WR,196
2020,1.08,8,Córdoba Gunslingers Favre,Jerry Jeudy,DEN,WR,140
2020,1.09,9,Javier Big Ben Steelers,Henry Ruggs,LVR,WR,81
2020,1.1,10,Triana Bills Kelly,Joe Burrow,CIN,QB,198
2020,1.11,11,Pittsburgh Terror Lambert,Denzel Mims,NYJ,WR,53
2020,1.12,12,Malaka Reed Poe,Tua Tagovailoa,MIA,QB,159
2020,1.13,13,Darko LaDainian Texas *,Jalen Reagor,PHI,WR,83
2020,1.14,14,Triana Bills Kelly,Brandon Aiyuk,SFO,WR,165
2020,1.15,15,Smith's Terrible Showdown,Chase Young,WAS,DE,113
2020,1.16,16,Jrz French Faulk's,Tee Higgins,CIN,WR,171
2020,2.01,17,San Joe Montana 49ers,Ke'Shawn Vaughn,TBB,RB,21
2020,2.02,18,Indiana James,Michael Pittman,IND,WR,86
2020,2.03,19,The Adam's Family,Laviska Shenault,JAC,WR,140
2020,2.04,20,El Predicador Almogávar,Justin Herbert,LAC,QB,398
2020,2.05,21,El Predicador Almogávar,Zack Moss,BUF,RB,100
2020,2.06,22,GronkSpike,Chase Claypool,PIT,WR,193
2020,2.07,23,Zgz Marino Phins,AJ Dillon,GBP,RB,40
2020,2.08,24,Córdoba Gunslingers Favre,Darrynton Evans,TEN,RB,21
2020,2.09,25,San Joe Montana 49ers,Bryan Edwards,LVR,WR,34
2020,2.1,26,Isma Ray Ravens,Devin Duvernay,BAL,WR,69
2020,2.11,27,Pittsburgh Terror Lambert,Isaiah Simmons,ARI,LB,74
2020,2.12,28,Malaka Reed Poe,Kenneth Murray,LAC,LB,106
2020,2.13,29,Darko LaDainian Texas *,DeeJay Dallas,SEA,RB,52
2020,2.14,30,Triana Bills Kelly,Anthony McFarland,PIT,RB,25
2020,2.15,31,Darko LaDainian Texas *,K'Lavon Chaisson,JAC,DE,29
2020,2.16,32,Darko LaDainian Texas *,Patrick Queen,BAL,LB,140
2020,3.01,33,Isma Ray Ravens,Antonio Gandy-Golden,WAS,WR,3
2020,3.02,34,Indiana James,Lynn Bowden,MIA,RB,42
2020,3.03,35,The Adam's Family,Adam Trautman,NOS,TE,37
2020,3.04,36,Vlc Tigers Watt's,Jeff Okudah,DET,CB ,62
