,Unnamed: 0,Home_Team,Away_Team,Home_Points,Away_Points,Year,Week
0,0.0,Isma Ray Ravens,Jrz French Faulk's,166,206,2019,1
1,1.0,Zgz Marino Phins,Darko LaDainian Texas *,98,157,2019,1
2,2.0,GronkSpike,Javier Big Ben Steelers,255,160,2019,1
3,3.0,The Adam´s Family,San Joe Montana 49ers,192,189,2019,1
4,4.0,Triana Bills Kelly,Indiana James,222,234,2019,1
5,5.0,Franquicia Sin Nombre,NavaWarner Rams,186,150,2019,1
6,6.0,Córdoba Gunslingers Favre,Smith's Terrible Showdown,162,164,2019,1
7,7.0,Vlc Tigers Watt's,Malaka Reed Poe,189,219,2019,1
8,8.0,Zgz Marino Phins,Isma Ray Ravens,148,212,2019,2
9,9.0,Jrz French Faulk's,Darko LaDainian Texas *,129,194,2019,2
10,10.0,The Adam´s Family,GronkSpike,158,206,2019,2
11,11.0,Javier Big Ben Steelers,San Joe Montana 49ers,127,195,2019,2
12,12.0,Franquicia Sin Nombre,Triana Bills Kelly,190,186,2019,2
13,13.0,Indiana James,NavaWarner Rams,204,154,2019,2
14,14.0,Vlc Tigers Watt's,Córdoba Gunslingers Favre,210,193,2019,2
15,15.0,Smith's Terrible Showdown,Malaka Reed Poe,151,173,2019,2
16,16.0,Zgz Marino Phins,Jrz French Faulk's,143,220,2019,3
17,17.0,Darko LaDainian Texas *,Isma Ray Ravens,175,207,2019,3
18,18.0,San Joe Montana 49ers,GronkSpike,175,191,2019,3
19,19.0,Javier Big Ben Steelers,The Adam´s Family,184,202,2019,3
20,20.0,NavaWarner Rams,Triana Bills Kelly,160,200,2019,3
21,21.0,Indiana James,Franquicia Sin Nombre,229,233,2019,3
22,22.0,Malaka Reed Poe,Córdoba Gunslingers Favre,239,198,2019,3
23,23.0,Smith's Terrible Showdown,Vlc Tigers Watt's,186,175,2019,3
24,24.0,GronkSpike,Isma Ray Ravens,153,169,2019,4
25,25.0,San Joe Montana 49ers,Zgz Marino Phins,158,169,2019,4
26,26.0,Jrz French Faulk's,Javier Big Ben Steelers,182,205,2019,4
27,27.0,Darko LaDainian Texas *,The Adam´s Family,212,152,2019,4
28,28.0,Córdoba Gunslingers Favre,Indiana James,159,131,2019,4
29,29.0,Malaka Reed Poe,Franquicia Sin Nombre,189,191,2019,4
30,30.0,NavaWarner Rams,Smith's Terrible Showdown,180,179,2019,4
31,31.0,Triana Bills Kelly,Vlc Tigers Watt's,211,157,2019,4
32,32.0,Vlc Tigers Watt's,Isma Ray Ravens,164,205,2019,5
33,33.0,Córdoba Gunslingers Favre,Zgz Marino Phins,147,103,2019,5
34,34.0,Triana Bills Kelly,GronkSpike,235,170,2019,5
35,35.0,Franquicia Sin Nombre,The Adam´s Family,188,173,2019,5
36,36.0,Javier Big Ben Steelers,Indiana James,206,205,2019,5
37,37.0,San Joe Montana 49ers,NavaWarner Rams,144,145,2019,5
38,38.0,Jrz French Faulk's,Smith's Terrible Showdown,189,257,2019,5
39,39.0,Darko LaDainian Texas *,Malaka Reed Poe,205,156,2019,5
40,40.0,The Adam´s Family,Jrz French Faulk's,146,160,2019,6
41,41.0,GronkSpike,Darko LaDainian Texas *,171,168,2019,6
42,42.0,Zgz Marino Phins,Javier Big Ben Steelers,170,164,2019,6
43,43.0,Isma Ray Ravens,San Joe Montana 49ers,163,150,2019,6
44,44.0,Vlc Tigers Watt's,Indiana James,147,145,2019,6
45,45.0,Córdoba Gunslingers Favre,NavaWarner Rams,178,107,2019,6
46,46.0,Franquicia Sin Nombre,Smith's Terrible Showdown,169,148,2019,6
47,47.0,Triana Bills Kelly,Malaka Reed Poe,190,149,2019,6
48,48.0,Indiana James,Isma Ray Ravens,131,117,2019,7
49,49.0,NavaWarner Rams,Zgz Marino Phins,199,100,2019,7
50,50.0,Malaka Reed Poe,GronkSpike,160,147,2019,7
51,51.0,Smith's Terrible Showdown,The Adam´s Family,205,104,2019,7
52,52.0,Jrz French Faulk's,Triana Bills Kelly,188,169,2019,7
53,53.0,Darko LaDainian Texas *,Franquicia Sin Nombre,158,155,2019,7
54,54.0,San Joe Montana 49ers,Córdoba Gunslingers Favre,170,183,2019,7
55,55.0,Javier Big Ben Steelers,Vlc Tigers Watt's,210,160,2019,7
56,56.0,Vlc Tigers Watt's,Jrz French Faulk's,156,190,2019,8
57,57.0,Smith's Terrible Showdown,Darko LaDainian Texas *,216,208,2019,8
58,58.0,Indiana James,GronkSpike,173,183,2019,8
59,59.0,Franquicia Sin Nombre,San Joe Montana 49ers,205,154,2019,8
60,60.0,Javier Big Ben Steelers,Triana Bills Kelly,175,139,2019,8
61,61.0,The Adam´s Family,NavaWarner Rams,147,238,2019,8
62,62.0,Isma Ray Ravens,Córdoba Gunslingers Favre,183,200,2019,8
63,63.0,Zgz Marino Phins,Malaka Reed Poe,149,204,2019,8
