,Year,Week,Team,Record,%W,GB,STRK,PF,AVG_PF,PA,AVG_PA,DIV_Record,CON_Record
2,2019,1,Jrz French Faulk's,1-0-0,1.000,-,W1,206,206.0,166,166.0,1-0-0,1-0-0
3,2019,1,Darko LaDainian Texas *,1-0-0,1.000,-,W1,157,157.0,98,98.0,1-0-0,1-0-0
4,2019,1,Isma Ray Ravens,0-1-0,.000,1.0,L1,166,166.0,206,206.0,0-1-0,0-1-0
5,2019,1,Zgz Marino Phins,0-1-0,.000,1.0,L1,98,98.0,157,157.0,0-1-0,0-1-0
8,2019,1,GronkSpike,1-0-0,1.000,-,W1,255,255.0,160,160.0,1-0-0,1-0-0
9,2019,1,The Adam´s Family,1-0-0,1.000,-,W1,192,192.0,189,189.0,1-0-0,1-0-0
10,2019,1,San Joe Montana 49ers,0-1-0,.000,1.0,L1,189,189.0,192,192.0,0-1-0,0-1-0
11,2019,1,Javier Big Ben Steelers,0-1-0,.000,1.0,L1,160,160.0,255,255.0,0-1-0,0-1-0
14,2019,1,Indiana James,1-0-0,1.000,-,W1,234,234.0,222,222.0,1-0-0,1-0-0
15,2019,1,Franquicia Sin Nombre,1-0-0,1.000,-,W1,186,186.0,150,150.0,1-0-0,1-0-0
16,2019,1,Triana Bills Kelly,0-1-0,.000,1.0,L1,222,222.0,234,234.0,0-1-0,0-1-0
17,2019,1,NavaWarner Rams,0-1-0,.000,1.0,L1,150,150.0,186,186.0,0-1-0,0-1-0
20,2019,1,Malaka Reed Poe,1-0-0,1.000,-,W1,219,219.0,189,189.0,1-0-0,1-0-0
21,2019,1,Smith's Terrible Showdown,1-0-0,1.000,-,W1,164,164.0,162,162.0,1-0-0,1-0-0
22,2019,1,Vlc Tigers Watt's,0-1-0,.000,1.0,L1,189,189.0,219,219.0,0-1-0,0-1-0
23,2019,1,Córdoba Gunslingers Favre,0-1-0,.000,1.0,L1,162,162.0,164,164.0,0-1-0,0-1-0
2,2019,2,Darko LaDainian Texas *,2-0-0,1.000,-,W2,351,175.5,227,113.5,2-0-0,2-0-0
3,2019,2,Isma Ray Ravens,1-1-0,.500,1.0,W1,378,189.0,354,177.0,1-1-0,1-1-0
4,2019,2,Jrz French Faulk's,1-1-0,.500,1.0,L1,335,167.5,360,180.0,1-1-0,1-1-0
5,2019,2,Zgz Marino Phins,0-2-0,.000,2.0,L2,246,123.0,369,184.5,0-2-0,0-2-0
8,2019,2,GronkSpike,2-0-0,1.000,-,W2,461,230.5,318,159.0,2-0-0,2-0-0
9,2019,2,San Joe Montana 49ers,1-1-0,.500,1.0,W1,384,192.0,319,159.5,1-1-0,1-1-0
10,2019,2,The Adam´s Family,1-1-0,.500,1.0,L1,350,175.0,395,197.5,1-1-0,1-1-0
11,2019,2,Javier Big Ben Steelers,0-2-0,.000,2.0,L2,287,143.5,450,225.0,0-2-0,0-2-0
14,2019,2,Indiana James,2-0-0,1.000,-,W2,438,219.0,376,188.0,2-0-0,2-0-0
15,2019,2,Franquicia Sin Nombre,2-0-0,1.000,-,W2,376,188.0,336,168.0,2-0-0,2-0-0
16,2019,2,Triana Bills Kelly,0-2-0,.000,2.0,L2,408,204.0,424,212.0,0-2-0,0-2-0
17,2019,2,NavaWarner Rams,0-2-0,.000,2.0,L2,304,152.0,390,195.0,0-2-0,0-2-0
20,2019,2,Malaka Reed Poe,2-0-0,1.000,-,W2,392,196.0,340,170.0,2-0-0,2-0-0
21,2019,2,Vlc Tigers Watt's,1-1-0,.500,1.0,W1,399,199.5,412,206.0,1-1-0,1-1-0
22,2019,2,Smith's Terrible Showdown,1-1-0,.500,1.0,L1,315,157.5,335,167.5,1-1-0,1-1-0
23,2019,2,Córdoba Gunslingers Favre,0-2-0,.000,2.0,L2,355,177.5,374,187.0,0-2-0,0-2-0
2,2019,3,Isma Ray Ravens,2-1-0,.667,-,W2,585,195.0,529,176.3,2-1-0,2-1-0
3,2019,3,Jrz French Faulk's,2-1-0,.667,-,W1,555,185.0,503,167.7,2-1-0,2-1-0
4,2019,3,Darko LaDainian Texas *,2-1-0,.667,-,L1,526,175.3,434,144.7,2-1-0,2-1-0
5,2019,3,Zgz Marino Phins,0-3-0,.000,2.0,L3,389,129.7,589,196.3,0-3-0,0-3-0
8,2019,3,GronkSpike,3-0-0,1.000,-,W3,652,217.3,493,164.3,3-0-0,3-0-0
9,2019,3,The Adam´s Family,2-1-0,.667,1.0,W1,552,184.0,579,193.0,2-1-0,2-1-0
10,2019,3,San Joe Montana 49ers,1-2-0,.333,2.0,L1,559,186.3,510,170.0,1-2-0,1-2-0
